fullName,owner,name,stars,inDeg,pagerank,daysSinceUpdate,latestToolchain,repoUrl,composite_rank
leanprover-community/mathlib,leanprover-community,mathlib,3235,383,0.04255171994032656,15,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/mathlib4,1.6666666666666667
leanprover-community/batteries,leanprover-community,batteries,376,379,0.08206952483222439,15,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/batteries,5.0
leanprover/cslib,leanprover,cslib,517,4,0.0011347036803733375,15,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/cslib,17.333333333333332
google-deepmind/formal_conjectures,google-deepmind,formal_conjectures,947,2,0.0010121542186061388,15,leanprover/lean4:v4.27.0,https://github.com/google-deepmind/formal-conjectures,20.0
ulfjack/ryu,ulfjack,ryu,1335,0,0.0008650948644855007,15,leanprover/lean4:v4.27.0-rc1,https://github.com/ulfjack/ryu,30.666666666666668
leanprover/doc-gen4,leanprover,doc-gen4,146,61,0.005402198382485416,16,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/doc-gen4,30.666666666666668
leanprover-community/Physlib,leanprover-community,Physlib,555,1,0.0009141146491923801,15,leanprover/lean4:v4.29.1,https://github.com/leanprover-community/physlib,30.666666666666668
ImperialCollegeLondon/FLT,ImperialCollegeLondon,FLT,874,0,0.0008650948644855007,15,leanprover/lean4:v4.30.0-rc2,https://github.com/ImperialCollegeLondon/FLT,31.666666666666668
AlexKontorovich/PrimeNumberTheoremAnd,AlexKontorovich,PrimeNumberTheoremAnd,292,1,0.0009216561545318999,15,leanprover/lean4:v4.28.0,https://github.com/AlexKontorovich/PrimeNumberTheoremAnd,34.0
leanprover-community/aesop,leanprover-community,aesop,360,374,0.036940299380871254,17,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/aesop,34.0
leanprover-community/Qq,leanprover-community,Qq,104,372,0.036471230915145876,16,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/quote4,35.0
dwrensha/compfiles,dwrensha,compfiles,243,0,0.0008650948644855007,15,leanprover/lean4:v4.30.0-rc2,https://github.com/dwrensha/compfiles,37.333333333333336
leanprover-community/proofwidgets,leanprover-community,proofwidgets,201,373,0.03741662654820581,17,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/ProofWidgets4,38.333333333333336
leanprover/verso,leanprover,verso,319,9,0.002241155502158301,17,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/verso,39.666666666666664
verse-lab/Loom,verse-lab,Loom,143,1,0.0009319400254494272,15,leanprover/lean4:v4.24.0,https://github.com/verse-lab/loom,40.0
leanprover-community/iris-lean,leanprover-community,iris-lean,176,0,0.0008650948644855007,15,,https://github.com/leanprover-community/iris-lean,40.666666666666664
lean-dojo/LeanCopilot,lean-dojo,LeanCopilot,1268,2,0.0013062729268474155,17,leanprover/lean4:v4.28.0,https://github.com/lean-dojo/LeanCopilot,41.0
strata-org/Strata,strata-org,Strata,160,0,0.0008650948644855007,15,leanprover/lean4:v4.29.1,https://github.com/strata-org/Strata,41.333333333333336
Verified-zkEVM/VCVio,Verified-zkEVM,VCVio,91,2,0.000984580589708519,15,leanprover/lean4:v4.29.0,https://github.com/Verified-zkEVM/VCV-io,42.666666666666664
teorth/Analysis,teorth,Analysis,1686,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0-rc8,https://github.com/teorth/analysis,44.0
Verified-zkEVM/Clean,Verified-zkEVM,Clean,134,0,0.0008650948644855007,15,leanprover/lean4:v4.28.0,https://github.com/Verified-zkEVM/clean,44.0
teorth/equational_theories,teorth,equational_theories,516,0,0.0008650948644855007,16,leanprover/lean4:v4.20.1,https://github.com/teorth/equational_theories,46.666666666666664
lecopivo/scilean,lecopivo,scilean,496,0,0.0008650948644855007,16,leanprover/lean4:v4.28.0-rc1,https://github.com/lecopivo/SciLean,47.333333333333336
leanprover-community/Game,leanprover-community,Game,315,0,0.0008650948644855007,16,leanprover/lean4:v4.23.0,https://github.com/leanprover-community/NNG4,49.0
leanprover/sampcert,leanprover,sampcert,97,0,0.0008650948644855007,15,leanprover/lean4:v4.29.0,https://github.com/leanprover/SampCert,50.333333333333336
input-output-hk/Blaster,input-output-hk,Blaster,41,1,0.001600391635088692,15,leanprover/lean4:v4.24.0,https://github.com/input-output-hk/Lean-blaster,51.0
opencompl/SSA,opencompl,SSA,231,0,0.0008650948644855007,16,leanprover/lean4:nightly-2025-12-01,https://github.com/opencompl/lean-mlir,51.333333333333336
ufmg-smite/smt,ufmg-smite,smt,285,5,0.0014829484008951268,18,leanprover/lean4:v4.29.0,https://github.com/ufmg-smite/lean-smt,52.0
siddhartha-gadgil/leanaide,siddhartha-gadgil,leanaide,116,1,0.0009386245415458198,16,leanprover/lean4:v4.28.0,https://github.com/siddhartha-gadgil/LeanAide,53.333333333333336
Verified-zkEVM/Arklib,Verified-zkEVM,Arklib,189,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0,https://github.com/Verified-zkEVM/ArkLib,53.333333333333336
digama0/lean4lean,digama0,lean4lean,182,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0,https://github.com/digama0/lean4lean,53.666666666666664
thefundamentaltheor3m/SpherePacking,thefundamentaltheor3m,SpherePacking,85,0,0.0008650948644855007,15,leanprover/lean4:v4.29.0,https://github.com/thefundamentaltheor3m/Sphere-Packing-Lean,54.0
leanprover-community/auto,leanprover-community,auto,169,12,0.002280601221069549,19,leanprover/lean4:v4.29.0,https://github.com/leanprover-community/lean-auto,55.0
FormalizedFormalLogic/Foundation,FormalizedFormalLogic,Foundation,226,2,0.0010111423681709573,17,leanprover/lean4:v4.29.0,https://github.com/FormalizedFormalLogic/Foundation,55.0
lean-ja/Lean by Example,lean-ja,Lean by Example,156,0,0.0008650948644855007,16,leanprover/lean4:v4.30.0-rc1,https://github.com/lean-ja/lean-by-example,55.333333333333336
leanprover/KLR,leanprover,KLR,49,1,0.0009570069608108995,15,leanprover/lean4:v4.23.0,https://github.com/leanprover/KLR,58.0
PatrickMassot/verbose,PatrickMassot,verbose,128,0,0.0008650948644855007,16,leanprover/lean4:v4.27.0,https://github.com/PatrickMassot/verbose-lean4,58.0
leanprover-community/mil,leanprover-community,mil,503,0,0.0008650948644855007,17,leanprover/lean4:v4.21.0,https://github.com/leanprover-community/mathematics_in_lean,60.333333333333336
leanprover/verso-manual,leanprover,verso-manual,110,0,0.0008650948644855007,16,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/reference-manual,60.666666666666664
sdiehl/ZeroToQED,sdiehl,ZeroToQED,107,0,0.0008650948644855007,16,leanprover/lean4:v4.28.0,https://github.com/sdiehl/zero-to-qed,61.333333333333336
b-mehta/FormalisingMathematics2026,b-mehta,FormalisingMathematics2026,104,0,0.0008650948644855007,16,leanprover/lean4:v4.26.0,https://github.com/b-mehta/formalising-mathematics-notes,62.333333333333336
optsuite/optlib,optsuite,optlib,98,0,0.0008650948644855007,16,leanprover/lean4:v4.13.0,https://github.com/optsuite/optlib,63.666666666666664
fpvandoorn/carleson,fpvandoorn,carleson,90,0,0.0008650948644855007,16,leanprover/lean4:v4.29.1,https://github.com/fpvandoorn/carleson,65.66666666666667
Paper-Proof/paperproof,Paper-Proof,paperproof,517,1,0.0009386245415458198,20,leanprover/lean4:v4.29.0-rc8,https://github.com/Paper-Proof/paperproof,66.0
marcusrossel/egg,marcusrossel,egg,86,0,0.0008650948644855007,16,leanprover/lean4:v4.23.0,https://github.com/marcusrossel/lean-egg,67.33333333333333
leanprover-community/mathport,leanprover-community,mathport,45,0,0.0008650948644855007,15,leanprover/lean4:v4.10.0-rc2,https://github.com/leanprover-community/mathport,69.0
leanprover-community/plausible,leanprover-community,plausible,87,323,0.032560124485175625,21,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover-community/plausible,70.0
argumentcomputer/ix,argumentcomputer,ix,71,0,0.0008650948644855007,16,leanprover/lean4:v4.29.0,https://github.com/argumentcomputer/ix,71.66666666666667
verified-optimization/CvxLean,verified-optimization,CvxLean,71,0,0.0008650948644855007,16,leanprover/lean4:v4.8.0-rc1,https://github.com/verified-optimization/CvxLean,71.66666666666667
Verified-zkEVM/CompPoly,Verified-zkEVM,CompPoly,38,1,0.0009110509126482001,15,leanprover/lean4:v4.29.0,https://github.com/Verified-zkEVM/CompPoly,72.33333333333333
SrGaabriel/soma-workspace,SrGaabriel,soma-workspace,68,0,0.0008650948644855007,16,leanprover/lean4:v4.30.0-rc2,https://github.com/SrGaabriel/soma,73.0
leanprover-community/Duper,leanprover-community,Duper,110,5,0.0012994294746869672,21,leanprover/lean4:v4.29.0,https://github.com/leanprover-community/duper,74.33333333333333
leanprover/lean4export,leanprover,lean4export,33,1,0.0009110509126482001,15,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/lean4export,75.66666666666667
lambdaclass/trzk,lambdaclass,trzk,33,0,0.0008650948644855007,15,leanprover/lean4:v4.26.0,https://github.com/lambdaclass/truth_research_zk,76.66666666666667
leanprover-community/lean4-metaprogramming-book,leanprover-community,lean4-metaprogramming-book,287,0,0.0008650948644855007,20,leanprover/lean4:v4.17.0-rc1,https://github.com/leanprover-community/lean4-metaprogramming-book,76.66666666666667
PatrickMassot/glimpseOfLean,PatrickMassot,glimpseOfLean,364,0,0.0008650948644855007,21,leanprover/lean4:v4.27.0,https://github.com/PatrickMassot/GlimpseOfLean,78.33333333333333
rahul3613/proofNet-lean4,rahul3613,proofNet-lean4,30,0,0.0008650948644855007,15,leanprover/lean4:v4.20.0,https://github.com/rahul3613/ProofNet-lean4,80.0
leanprover/Cli,leanprover,Cli,107,372,0.07734041814553602,26,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/lean4-cli,80.33333333333333
loganrjmurphy/lib,loganrjmurphy,lib,128,0,0.0008650948644855007,19,leanprover/lean4:v4.19.0,https://github.com/loganrjmurphy/LeanEuclid,81.0
verse-lab/veil,verse-lab,veil,228,0,0.0008650948644855007,21,leanprover/lean4:v4.24.0,https://github.com/verse-lab/veil,82.0
JOSHCLUNE/Hammer,JOSHCLUNE,Hammer,87,4,0.0011106802907054746,21,leanprover/lean4:v4.29.0,https://github.com/JOSHCLUNE/LeanHammer,82.0
frenzymath/reap,frenzymath,reap,26,0,0.0008650948644855007,15,leanprover/lean4:v4.28.0-rc1,https://github.com/frenzymath/reap,82.66666666666667
ImperialCollegeLondon/formalising-mathematics-2024,ImperialCollegeLondon,formalising-mathematics-2024,251,0,0.0008650948644855007,22,leanprover/lean4:v4.5.0-rc1,https://github.com/ImperialCollegeLondon/formalising-mathematics-2024,85.33333333333333
fgdorais/Parser,fgdorais,Parser,78,5,0.0021362932722503104,23,leanprover/lean4:v4.30.0-rc2,https://github.com/fgdorais/lean4-parser,85.66666666666667
leanprover/leansqlite,leanprover,leansqlite,43,4,0.001920867868729936,19,leanprover/lean4:v4.30.0-rc2,https://github.com/leanprover/leansqlite,86.0
Seasawher/mathlib4-help,Seasawher,mathlib4-help,24,0,0.0008650948644855007,15,leanprover/lean4:v4.30.0-rc2,https://github.com/Seasawher/mathlib4-help,86.0
emilyriehl/InfinityCosmos,emilyriehl,InfinityCosmos,95,0,0.0008650948644855007,19,leanprover/lean4:v4.26.0-rc2,https://github.com/emilyriehl/infinity-cosmos,87.66666666666667
rzrn/GroundZero,rzrn,GroundZero,84,0,0.0008650948644855007,18,leanprover/lean4:v4.28.0,https://github.com/rzrn/ground_zero,87.66666666666667
sunblaze-ucb/verina,sunblaze-ucb,verina,61,0,0.0008650948644855007,17,leanprover/lean4:v4.18.0,https://github.com/sunblaze-ucb/verina,88.66666666666667
google-deepmind/imo,google-deepmind,imo,34,0,0.0008650948644855007,16,leanprover/lean4:v4.27.0,https://github.com/google-deepmind/formal-imo,89.0
nomeata/loogle,nomeata,loogle,137,1,0.0009386245415458198,23,leanprover/lean4:v4.30.0-rc1,https://github.com/nomeata/loogle,89.0
fgdorais/UnicodeBasic,fgdorais,UnicodeBasic,16,65,0.011819315455239756,16,leanprover/lean4:v4.30.0-rc2,https://github.com/fgdorais/lean4-unicode-basic,89.33333333333333
VCA-EPFL/graphiti,VCA-EPFL,graphiti,22,0,0.0008650948644855007,15,leanprover/lean4:v4.30.0-rc2,https://github.com/VCA-EPFL/graphiti,89.33333333333333
opencompl/fp-lean,opencompl,fp-lean,22,0,0.0008650948644855007,15,leanprover/lean4:nightly-2026-01-14,https://github.com/opencompl/fp-lean,89.33333333333333
teorth/expdb,teorth,expdb,74,0,0.0008650948644855007,18,leanprover/lean4:v4.27.0-rc1,https://github.com/teorth/expdb,90.33333333333333
